feature_1,feature_2,feature_3,feature_4,feature_5
1.9822720792564186,0.602110650384467,1.661910667616713,1.6637899227149504,-0.13717581316428043
0.351429930846768,-0.44495724807064213,-0.11590561490427753,1.3377916251936146,1.156585594528318
0.006784150136170629,-0.6868089630491166,1.1273827985442493,0.5047717492016479,1.2062459020079697
-0.3068724516105038,0.38510248147828047,-0.5835570392452885,0.022998648212246734,0.27755974653489823
-0.1449240104997548,1.2638231985363584,-0.8360034765578092,-0.41967900396859276,-0.4781953726942226
,,-0.4992285076973828,1.2984513940083695,-1.8769037335083476
0.4439652251134814,-1.1367787813518664,-0.1060037086090968,-0.6048938872078318,-0.49199207005679574
-0.3886495825839241,1.2981670813856105,2.152026857378176,-0.6863273712687878,
-0.6142001460794071,-0.33509991872248324,-0.9045821935757287,,
0.703541543406558,-0.20809656078123837,,-0.4118735318413992,-1.4806907881555738
,0.4053321353827481,-1.7570543196207062,1.4121793809080447,-0.8065406741108614
0.1857971914790159,0.45576065001666904,-0.27196469338560464,-0.0780280274285623,2.44613249745946
-1.776592006061526,-0.12787761800894645,,,0.9499346488238034
0.18869898479589461,,-0.5286385454853928,-0.7373386350709951,0.8539494055866133
0.4966186835186833,-1.7697787960491786,-1.6646396942390176,1.4346432802723044,1.8893692661458725
0.5221116019699609,0.8865377290685279,-1.1432991524072778,0.585626396793697,-1.517523361501334
,0.9645517794176233,-1.945222547758246,0.6806305460776327,1.262109556026272
-0.5770211248372451,-0.622462015780478,0.23846877084019696,-0.48839034517107893,-1.9398418508761965
0.29725366093174854,-0.6039375292088919,1.7569169361459993,0.8411668882192663,1.5109983514533722
-0.9256495676267205,-1.0465565708426996,-0.6899510962242137,1.005574860001961,-0.8872141141757711
-1.6223174474414013,0.5361334460831433,-0.48028453415403466,-1.1460340932302169,-1.3870989772331117
0.6843920571011743,0.4725060833456405,-0.520193517013217,0.6493974022943863,0.21339319979111326
1.4849887011657303,0.8204234182881913,-0.4676791997404891,0.9297390653304137,-0.0511832303560553
-0.23565550005397023,1.1610240569787025,-0.6379821573926184,-0.45678847574723475,0.13400272537597507
-1.0256350801036225,,0.12191734198518518,-0.6239353897970207,0.21938700159747546
-1.67819455913998,-0.3143859931328741,-1.2480475138006373,0.6234206107063258,1.5503287104618095
0.2373990477775624,-0.33098258776733114,-0.7789382555638554,-0.4086147821022395,1.198422756503723
1.9386350155565906,-0.3787163651659043,-0.05523734165188125,-0.2912728197093254,-0.3000521767760222
-0.24234982246592307,0.23190970535597308,0.23738799734061683,0.894413517151942,-0.18531853909404705
-0.5166553743354152,0.059540805311206084,1.040309052515599,0.4952038973824732,-1.111977287448204
0.31729817562545626,1.1140155479962786,1.965541893545418,,-1.2729350172942155
-0.2659782105857523,0.3888472652541462,0.3336155377799009,0.37122993420029576,0.2649237284938028
,0.5681711658678184,0.5434574717496422,-1.541557532615908,0.7566638212485935
1.2429631807171146,-1.4541806766582537,0.13352109218948188,-0.5223788993815356,-0.20976534515134282
